,texts,labels
0,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",ind
1,What movie did Beyonce act in 2006?,cremat
2,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,count
3,When did Beyonce have her first child?,date
4,Where did Beyonce release her 5th album to a huge surprise?,other
5,How many awards did Beyonce take home with her at the 57th Grammy Awards?,count
6,How many copies of her albums as Beyonce sold in the US?,count
7,How many Grammys has Beyonce won total with and without Destiny's Child?,count
8,"How many weeks did their single ""Independent Women Part I"" stay on top?",count
9,Where did Beyonce give birth to her first child?,other
10,Where did Beyonce become pregnant?,other
11,"How many Grammy awards did ""Crazy in Love"" win?",count
12,When did Beyonce leave Destiny's Child and become a solo singer?,date
13,"How many has ""Dangerously in Love"" sould worldwide since its debut?",count
14,Where was the album released? ,other
15,How many people watched the 2011 MTV Music Awards?,count
16,Where was Beyonce quoted as saying that she is a modern-day feminist?,other
17,How many certifications was Beyonce awarded by the RIAA?,count
18,When did Beyonce begin her deals with name brands?,date
19,For what movie did Beyonce receive  her first Golden Globe nomination?,cremat
20,How many singles did her second album produce?,count
21,"How many number one singles did Beyonce now have after the song ""Telephone""?",count
22,"When did Destiny's Child release its album ""Love Songs""?",date
23,Who joined Beyonce on her On The Run Tour?,ind
24,Where did she announce her pregnancy?,other
25,What percentage of people were positive about Beyonce's endorsement of Pepsi?,perc
26,How many people lost jobs when Beyonce left the video game deal?,count
27,When did Beyonce take a hiatus in her career and take control of her management?,date
28,How many top five singles came from her first album?,count
29,When did Beyonce have her first child?,date
30,When were Beyonce and Jay Z married?,date
31,How many octaves does Beyonce have?,count
32,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,count
33,When did Beyonce begin doing Pepsi advetisments?,date
34,What large record company recorded Beyonce's group's first album?,gr
35,What film did Beyonce appear in with Mike Myers?,cremat
36,When did Destiny's Child get their star on the Hollywood Walk of Fame?,date
37,What does B.I.C. stand for?,exp
38,Where did she perform wearing Baker's hula skirt?,other
39,How many albums has Beyonce as a solo artist sold in the U.S?,count
40,How many Grammies has Beyonce won?,count
41,When did Beyonce partner with C&A to sell fashion in Brazil?,date
42,What company did Beyoncé contract with to sell clothing in England?,gr
43,What record company first signed Beyonce's group and later cut them?,gr
44,Who replaced Luckett and Roberson in Destiny's Child?,ind
45,When did Beyonce begin her second world tour?,date
46,How many Tweets per minute did the half time show get?,count
47,When did Beyoncé release Formation?,date
48,Where did Suga Mama band make their first appearance?,other
49,How many Grammy awards did Crazy in Love get?,count
50,How many Grammy nominations does Beyonce have?,count
51,What is the name of Beyoncé's management company?,gr
52,When did Beyonce and her mother start Dereon?,date
53,Who managed the Destiny's Child group?,ind
54,When did Destiny's Child end their group act?,date
55,How many records has Beyonce sold in her 19 year career?,count
56,"What singer did Beyonce record a song with for the movie, ''The Best Man""?",ind
57,Which film did Beyoncé star in 2001 with Mekhi Phifer?,cremat
58,When did she perform at the Roseland ballroom?,date
59,How many nights did she perform at Atlantic City?,count
60,When did Destiny's Child release Love Songs?,date
61,How many digital copies of her fifth album did Beyoncé sell in six days?,count
62,"Where did Beyoncé exclusively release her single, Formation?",other
63,Where was Beyonce when she became pregnant?,other
64,When did Beyoncé give birth to her daughter?,date
65,When did she appear on the cover of GQ?,date
66,How many records has she sold with Destiny's Child?,count
67,When did Beyoncé rise to fame?,date
68,How many records did Beyoncé sell as part of Destiny's Child?,count
69,Which film did Beyoncé star with Steve Martin in?,cremat
70,Where did Beyonce perform in 2011?,other
71,When did Beyoncé give birth to a daughter?,date
72,Where did Beyoncé announce her pregnancy?,other
73,How many octaves does Beyoncé's voice span?,count
74,How many editions of Heat have been launched?,count
75,How many people lost their jobs over Beyoncé backing out of the deal?,count
76,Where is Topshop located?,other
77,Where were items from the clothing line displayed?,other
78,When did Beyoncé get married?,date
79,How many dates did the Mrs. Carter Show World Tour have?,count
80,When were Beyoncé and Jay Z married?,date
81,Why is Beyoncé known as the centerpiece of Destiny's Child?,reason
82,How many Grammys has Beyoncé won?,count
83,How many Grammy awards has Beyoncé won?,count
84,When did Destiny's Child announce their hiatus?,date
85,What film did Beyoncé star in with Mike Myers in 2002?,cremat
86,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,count
87,How many copies of 4 sold in the first week?,count
88,Where was Blue Ivy born?,other
89,How many records combined have Beyoncé and Jay Z sold?,count
90,How many people watched the 2011 MTV Video Music Awards?,count
91,"Who sang ""Girls Love Beyoncé"" in 2013?",ind
92,How many records has Beyoncé sold in the United States?,count
93,How many Grammy nominations has Beyoncé had?,count
94,When did Beyoncé release Dangerously in Love?,date
95,When did Beyoncé begin to manage the girl group?,date
96,When did Destiny's Child release their second album?,date
97,"Where did Beyoncé perform on January 20, 2009?",other
98,Where was Beyoncé's first public performance after giving birth?,other
99,How many awards was Beyoncé nominated for at the 57th annual Grammys?,count
100,Who coached Beyoncé for her Spanish recordings?,ind
101,When did The Mamas make their debut?,date
102,How many records has Beyoncé sold throughout the world?,count
103,How many Grammy awards did Beyoncé win for her first solo album?,count
104,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,other
105,How many nights did Beyoncé play at the resort?,count
106,How many awards did Beyoncé win at the 57th Annual Grammys?,count
107,Where did Beyoncé get pregnant?,other
108,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,date
109,What movie had Beyoncé nominated as Best Actress for Golden Globe Awards?,cremat
110,How many editions of Heat exist?,count
111,How many awards did Beyoncé win at the 46th Grammy's Awards?,count
112,How many certifications did RIAA give Beyoncé?,count
113,Who was Frédéric's first professional teacher in music?,ind
114,How many doctors saw Frédéric by the 3rd of December?,count
115,Where did Chopin head to during the Revolution of 1848?,other
116,Where did Chopin stay while in London?,other
117,Where did Jane Stirling invite Chopin?,other
118,When did Chopin last appear in public?,date
119,When did his sister come to stay with Chopin?,date
120,Why did Chopin request being cut open after his death?,reason
121,Where was Chopin's funeral held?,other
122,How many of Chopin's works still exist?,count
123,How many polonaises were published while Chopin lived?,count
124,How many nocturnes did Chopin compose?,count
125,"How many movements are No. 2, Op. 35 and No. 3, Op 58 in?",count
126,How many public performances was Frédéric estimated to have given during the remainder of his life?,count
127,Who was the principal of the Polish Literary Society that Frédéric became acquainted with?,ind
128,Who was Frédéric's trusted adviser while in Paris?,ind
129,Where was the first fictionalized account of Chopin's life created?,other
130,What company provided Chopin with a piano while in London?,gr
131,Where was Chopin's last public performance?,other
132,In 1849 where did Chopin live?,other
133,In September 1849 where did Chopin take up residence?,other
134,Who was the organist at Chopin's funeral?,ind
135,How many polonaises were published after Chopin died?,count
136,Who was Chopin's musical executor?,ind
137,Where did Frédéric live with his family while they were in Warsaw?,other
138,How many piano concerts did Frédéric perform in Vienna during this time?,count
139,Who was the director of the Academy of Art that Frédéric met while in Düsseldorf?,ind
140,How many times did Frédéric and Liszt collaborate in performances during the years of 1833 to 1841?,count
141,How many pieces did Chopin write in 1841?,count
142,When did Chopin last perform?,date
143,Where is the International Chopin Piano Competition held?,other
144,Where did Chopin go in the spring of 1848?,other
145,Where was Chopin's initial performance?,other
146,Where was Chopin invited to in late summer?,other
147,How many people arrived for Chopin's funeral?,count
148,How much did Chopin's funeral cost?,money
149,How many Chopin pieces are known to have survived?,count
150,How many unfinished pieces did Julian Fontana make into eight more opus numbers?,count
151,"How many movements are in No. 2, Op. 35 and No. 3, Op 58?",count
152,"Who wrote about Chopin's ""novel harmonic effects""?",ind
153,Who was Alexander Scriabin's teacher?,ind
154,Where were Poles scattered to?,other
155,How many of Chopin's Polish songs did Liszt transliterate for piano?,count
156,Who was a student of Chopin's former students and actually recorded some Chopin music?,ind
157,Where were Frédéric's parents located at when he saw them for the final time in 1835?,other
158,How many doctors visited Chopin?,count
159,Where was Sand's estate located where they stayed for the summers until 1846?,other
160,How many pieces did Chopin compose in 1842?,count
161,When did Chopin return to Paris?,date
162,Why did Chopin want his body opened when he died?,reason
163,Where was Chopin's funeral held?,other
164,What is different about Chopin's waltzes versus a ballroom waltz?,desc
165,Where did Chopin's work start t oshow up?,other
166,Why did Schumann say the Poles were in mourning?,reason
167,Where did Chopin create the majority of his compositions?,other
168,When did Chopin visit Berlin?,date
169,Where did Chopin meet Felix Mendelssohn?,other
170,Where did Frédéric and Sand venture to after Majorca became unlivable when it was discovered they were not married?,other
171,Where did Frédéric and Sand move to in 1842 in buildings next to each other?,other
172,When did Pabst record his Chopin performance?,date
173,Where was Chopin's last public performance?,other
174,Who was Chopin's physician?,ind
175,Where did he end up living when he was 21?,other
176,Where was Chopin born?,other
177,When did Chopin's family move to Warsaw?,date
178,Who was Chopin's initial piano teacher?,ind
179,When did Chopin receive his last Conservatory report?,date
180,Where did Chopin debut after completing his studies?,other
181,When did Chopin debut at Salle Pleyel ?,date
182,Where was Chopin's first concert in Paris held?,other
183,How many works did Chopin write in 1842?,count
184,Where did his friends found Chopin an apartment in 1849?,other
185,How many people arrived without an invitation?,count
186,Who was the organist for Chopin's funeral?,ind
187,Who compiled the Kobylańska Catalogue?,ind
188,Who was Alexander Scriabin's teacher?,ind
189,How many public shows did he perform during the last years of his life?,count
190,Where did Chopin's father get a teaching position?,other
191,Where did Chopin intend to go after Austria?,other
192,Where did Julian Fontana fail to get established?,other
193,Where did Chopin prefer to play for people?,other
194,In 1835 where did Chopin and his parents visit?,other
195,What was James Broadwood's occupation?,title
196,Where did the group travel to after Barcelona?,other
197,How many works did Chopin write in 1843?,count
198,Who did a work for Italian television about Chopin's life?,ind
199,"When was the fictionalized ""Chopin"" produced?",date
200,How much did Chopin's funeral and monument cost?,money
201,Who wrote a glowing review of Chopin's love for his country through his music in 1836?,ind
202,Where did Chopin grow up?,other
203,When did Chopin return to Warsaw?,date
204,When did Chopin propose marriage to Maria Wodziński?,date
205,Where did Liszt and Chopin last perform together?,other
206,Where was Sand's home?,other
207,What novel did Sand write in 1847?,cremat
208,How many works did Chopin write in 1845?,count
209,"Where was the fictionalized ""Chopin"" produced?",other
210,When did Jenny Lind visit Chopin?,date
211,How many Chopin polonaises were published after his death?,count
212,Where did Chopin create most of his works?,other
213,Where did Chopin spend his vacation in 1824 and 1825?,other
214,Who was the fortune hunter engaged to Sand's daughter?,ind
215,How old was Chopin when his family moved to Warsaw?,period
216,How many times did Chopin and Liszy perform together in public?,count
217,In 1842 where did Chopin and Sand move?,other
218,When did Chopin die?,date
219,How many boarders of his family's boarding house became intimate friends with Chopin?,count
220,Where did Chopin make his debut after completing his education?,other
221,Where were Chopin and Fontana students together?,other
222,Where did Chopin and Hiller go with the person Chopin met in the spring of 1834?,other
223,When did Chopin and Sand become lovers?,date
224,How many public performances did Chopin do where he made his debut after completing his education?,count
225,Where did Chopin and Sand go between November 1838 and February 1839?,other
226,When did Chopin end his relationship with Sand?,date
227,How many weeks after completing school was it before Chopin made his public debut?,count
228,Where did they travel after leaving Barcelona?,other
229,Where did Chopin live with his family in Warsaw?,other
230,Where did Chopin and Sand move to in 1842?,other
231,Where did Chopin and Sand stay in Valldemossa?,other
232,How old was Chopin when he left Poland?,period
233,How many states were ruled by myriarchies?,count
234,When did Kublai Khan conquer the song dynasty?  ,date
235,How many princes of Dharma were assigned by the Ming court?,count
236,Who wrote the book The Story of Tibet?,ind
237,Where is the China Tibetology Research Center located?,other
238,Why does Van Praag believe the Ming court set up a diplomatic delegation with Tibet?,reason
239,When did the Hongwu Emperor use military force in Tibet?,date
240,When were the Rinbung princes overthrown?,date
241,Who was the leader of the Sakya school of Tibetan Buddhism?,ind
242,Who was the Director of the History Studies Institute?,ind
243,When did the Ming court send a second request to Tsongkhapa?,date
244,Where did the Yongle Emperor send Yang Sanbao?,other
245,Why did the Yongle Emperor send Hou Xian and Zhi Guang to Tibet?,reason
246,Where did the Yongle Emperor greet the Karmapa?,other
247,Where was the Linggu Temple located?,other
248,Who was the leader of the Tümed Mongols?,ind
249,When was the Marquis Mu Ying commissioned to quell?,date
250,When did the Ming hold the divide and rule policy?,date
251,When did the the prince of Rinbung occupy Lhasa?,date
252,What establishment did the politics at court shift in favor of? ,gr
253,Who was the regent of the Mongol Empire?,ind
254,How many households were the offices of Qianhu in charge of?,count
255,Who was the founder of the Gelug school?,ind
256,When did Yongle Emperor send Yang Sanbao into Tibet?,date
257,Who was Yongle Emperor's father?,ind
258,When did Hou Xian and Zhi Guang return to Nanjing?,date
259,When did  Deshin Shekpa  die?,date
260,where did the trade route pass through?,other
261,How many Tibetan prisoners did Mu Ying capture?,count
262,Where were the Mongols trying to raise? ,other
263,Where does P. Christiaan Klieger work?,other
264,When did the Kangxi Emperor occupy Lhasa?,date
265,How many Qianhu offices were there?,count
266,Who wrote the book Khubilai Khan?,ind
267,How many households were the offices of Wanhu in charge of?,count
268,When was Chosrje Shākya Yeshes sent to Nanjing?,date
269,When did the Yongle Emperor invite Deshin Shekpa to his court?,date
270,Where did Hou Xian and Zhi Guang travel through on their way to the Karmapa?,other
271,How many animals did Mu Ying capture?,count
272,When did Altan Khan make peace with the Ming dynasty?,date
273,When did the 5th Dalai Lama gain political control over Tibet?,date
274,Where did Güshi Khan resettle his tribe?,other
275,When was The Qing dynasty garrison established in Tibet?,date
276,Where did Khubilai seek support as Emperor?,other
277,where was the É-Lì-Sī Army-Civilian Marshal Office established?,other
278,When did the yuan dynasty start and end?,date
279,Where were the envoys sent?,other
280,Who wrote the letter declining the Emperor's invitation?,ind
281,Who convinced the Yongle emperor not to send military forces into Tibet?,ind
282,Why did the Mongol princes ask for titles?,reason
283,Where did Sonam Gyatso die?,other
284,When did the  Ü-Tsang forces surrender?,date
285,Which company produces the iPod?,gr
286,Which company worked with Apple in creating the user interface for the iPod?,gr
287,What company was first to create a means of connecting the iPod to an automobile?,gr
288,What companies have developed iPod interfacing for their stereo systems?,gr
289,How many hosts are recognized by an iPod the first time they're used?,count
290,How many buttons do most iPods use?,count
