,texts,labels
0,"After her second solo album, what other entertainment venture did Beyonce explore?",other
1,Beyonce's younger sibling also sang with her in what band?,gr
2,"""Charlie's Angels"" featured which single from the band members?",cremat
3,Beyonce got married in 2008 to whom?,ind
4,"Beyonce released the song ""Formation"" on which online music service?",gr
5,Jay Z has a website called what?,other
6,Beyonce did an interview with which magazine and was asked about feminism?,cremat
7,Beyonce along with Jay Z met with whom's family after their death?,ind
8,Beyonce's range in singing is how many octaves?,count
9,Beyonce does not create which aspect of her music?,other
10,Pop Songwriter of the Year award in 2001 was awarded to whom?,ind
11,To whom did Beyonce credit as her major influence on her music?,ind
12,What themes were influenced by her acting role in Dreamgirls?,desc
13,"Beyonce has noted which first lady with saying ""She proves you can do it all""?",ind
14,Beyonce had an all-female tour band whose name was what?,gr
15,Beyonce self proclaimed alter ego is named what?,ind
16,Which parent of Beyonce's help co-write a book?,ind
17,Which rock band cited Beyonce on their third album?,gr
18,"Beyonce worked with who on her perfumes, True Star and True Star Gold?",ind
19,How young was Beyonce when she acquired deals from American Express and L'Oreal?,period
20,Who did Bayonce's management go into business with in 2014?,ind
21,"Beyonce, during October 2014, partnered with whom to produce an outdoor line of clothing?",ind
22,What national disaster caused Beyonce to create the Survivor Foundation?,event
23,"Which national event caused Beyonce to produce ""Demand a Plan?""",event
24,Time magazine named her one of the most 100 what people of the century?,ind
25,Where did Beyonce get her name from?,other
26,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",cremat
27,Beyonce's first album by herself was called what?,cremat
28,The lead single from the album was which song?,cremat
29,"Her third album, ""I am...Sasha Fierce"" was released when?",date
30,Beyonce tied with which artist for most nominations by a female artist?,ind
31,Which single had the most success from that album?,cremat
32,Beyonce's documentary movie was called what?,cremat
33,Beyonce's new single released before the super bowl was called what?,cremat
34,Beyonce confirmed what after performing one of her songs?,desc
35,An important UN summit took place when?,date
36,who talked about Beyonce's tone and timbre as distinctive?,ind
37,Beyonce had singers in the background known by the name as?,ind
38,Her alter ego was born when according to Beyonce?,ind
39,Which French magazine did Beyonce show up on the cover of?,cremat
40,Whats the first year that Beyonce appear on the Time 100 list?,date
41,"Which friend learned from Beyonce while preparing for the film, ""Country Strong?""",ind
42,The world's best selling celebrity perfume line belongs to whom?,ind
43,Beyonce's grandma's name was?,ind
44,Beyonce and Topshops first products were to be sold in stores when?,date
45,"How much cash did Beyonce put into the venture, the Survivor Foundation at startup?",money
46,Which magazine declared her the most dominant woman musician?,cremat
47,What race was Beyonce's father?,sport
48,Beyonce moved to which town after she left her first elementary school?,city
49,Who was the first record label to give the girls a record deal?,gr
50,"For which decade, did Beyonce have more top ten songs than any other woman?",date
51,"In 2010, Beyonce worked with which other famous singer?",ind
52,Beyonce became the first female artist to perform solo in 20 years at which stage?,other
53,Beyonce's first child is named what?,ind
54,What did Beyonce sign in 2013?,other
55,"Beyonce wrote which song for the movie ""Epic""?",cremat
56,Which magazine did Beyonce pose on the cover for in August of 2015?,cremat
57,How much did Beyonce raise for Obama at the 40/40 Club?,money
58,The letter Beyonce signed focused on what issue?,desc
59,What theme was Beyonce's early music?,desc
60,Beyonce has the same number of writing credits on number one singles as whom?,ind
61,Beyonce gave a tribute award to who in 2006?,ind
62,Who motivated Beyonce to explore other areas of music?,ind
63,"Beyonce has said that who embodies the ""definition of inspiration and a strong woman""?",ind
64,The Mamas members included which 3 musicians?,ind
65,Which word spawned from a term used to describe Beyonce in 2006?,word
66,Beyonce was seen wearing what on the french magazine that caused controversy?,other
67,What type of clothing does Parkwood Topshop Athletic Ltd produce?,product
68,Beyonce's family's company name is what?,gr
69,What hurricane years later after Katrina did the organization provide support for?,event
70,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,date
71,What event caused Beyonce's depression?,reason
72,"Their third album, Survivor, sold how many during its first week?",count
73,Beyonce's first world tour was when?,date
74,"What genre of film was the movie, Obsessed, in which Beyonce starred in?",cremat
75,Beyonce voiced a character in which animated film?,cremat
76,Beyonce would perform with who at Superbowl 50?,ind
77,At what hospital was the baby delivered?,other
78,"What did she endorse on March 26, 2013?",other
79,What had to be set in developing funding?,other
80,How much bail money did they spend?,money
81,"Up until May of 2015, how much is Beyonce's total worth?",money
82,Spanish songs Beyonce released were for what?,reason
83,Beyonce joined 2 other women on what list from Billboard magazine in 2011?,other
84,Beyonce cites Mariah Carey to making her want to start doing what?,reason
85,The Mamas first appearance was when?,date
86,Beyonce brought back Sasha Fierce during which event?,event
