,text,lbl_index,labels
0,What reduces a person's life expectancy by around three years?,14,other
1,Where was the Roman abacus first used?,14,other
2,How is an arithmetic compressor used for prediction?,0,manner
3,What method did early Chinese mathematicians use to calculate?,31,techmeth
4,How are male chickens able to be identified ?,0,manner
5,From what birds are chickens decended from ?,2,animal
6,Do chickens fly like other birds?,2,animal
7,What real-life president was featured in a Spider-Man comic?,4,ind
8,What Caridinal had powers so great that he basically ran France?,4,ind
9,"What has drinking water been contaminated with for decades, making it unsafe in Endicott?",28,substance
10,What does most water contain for quality sake?,28,substance
11,What is used to collect the water expelled from pressing?,14,other
12,How is a haze formed?,0,manner
13,What year was the Rainbow Times founded?,8,date
14,What locations does the Rainbow Times serve?,14,other
15,What do insects receive in return for pollination?,14,other
16,What do eusocial insects build?,14,other
17,How do migrating birds navigate?,0,manner
18,Who isolated radium in uranium ore?,4,ind
19,How is steel produced?,0,manner
20,What does Schweizer's reagent dissolve?,28,substance
21,What is epinephrine used to treat?,23,dismed
22,How is zinc applied to wounds?,0,manner
23,How is hydrogen used as a food additive?,0,manner
24,Where are trade unions registered in Scotland?,14,other
25,How long does it take to register a business in Guinea-Bissau?,27,period
26,How much does Vanguard plan to spend in capital investment?,25,money
27, What was the initial Canadian strategy in the War of 1812?,12,desc
28,What became an important part of the city's economy during the Napoleonic Wars and the war of 1812?,14,other
29,What was the US policy when France declared war on England in 1793?,12,desc
30,What does the cracking of the ice create?,14,other
31,How does the Arctic Ocean warm the Arctic?,0,manner
32,What is formed when moving ice seperates from sragnant ice below?,14,other
33,Who is considered to be the first comic creator in America?,4,ind
34,Who originally founded Marvel Comics?,4,ind
35,What publisher did Marvel first license its characters to for novelization?,5,gr
36,What is not a requirement to be a FBI agent?,12,desc
37,What is the minimum age to join the FBI?,27,period
38,What are FBI special agents issued if they fail their first qualification?,14,other
39,What is an important defense strategy for insects to survive?,31,techmeth
40,How do we accept things of God?,0,manner
41,On a state level the city is part of which district number?,14,other
42,"How many incorporated cities and CDPs does Alaska have, according to the 2010 Census?",13,count
43,Four-fifths of the ZIP codes that provide the highest amount of political contributions in the United States are located in what borough?,14,other
44,What is Maria Shriver's relation to President John F. Kennedy,12,desc
45,Who was Franklin D. Roosevelt the leader of?,4,ind
46,"From when did Roosevelt maintain his public profile with ""The Forgotten People""?",8,date
47,Fertilization and what else happens inside the egg?,12,desc
48,Where are egg tubes are found inside of an insect?,14,other
49,What are egg tubes called?,20,termeq
50,Where does ice start accululating in a glacier?,14,other
51,Under what circumstances do glaciers form?,9,reason
52,what are ice formations made by glaciers called?,14,other
53,How do migrating birds navigate?,0,manner
54,How do penguins migrate?,0,manner
55,Where do tubenosed birds breed?,14,other
56,Who do Native Americans trace most of their ancestry to?,4,ind
57,What can forensic anthropologists determine about the ancestors of someone from their skeletal remains?,14,other
58,What was the last Elvis Presley single released on 78?,1,cremat
59,Why did Elvis sales of 78s perform so well in the Southern States?,9,reason
60,What can forensic anthropologists determine about the ancestors of someone from their skeletal remains?,14,other
61,When was brass first used?,8,date
62,What is an alloy of copper and brass?,28,substance
63,What property does the final patina on copper avoid?,14,other
64,What is the name of the thirty-fourth James Bond film?,1,cremat
65,How many films has Daniel Craig appeared in as James Bond?,13,count
66,What James Bond movie was released on 6 November 2015 in the UK?,1,cremat
67,The rabies vaccine was created in what year?,8,date
68,How is mind-stuff spread?,0,manner
69,What caused a Tetanus outbreak?,9,reason
70,How is sunlight converted into electricity?,0,manner
71,How do migrating birds navigate?,0,manner
72,How is the USB data transmitted?,0,manner
73,What is an sRGB image file commonly called?,20,termeq
74,When did the American band Lizzy moved to Ireland? ,8,date
75,When did Burke's ancestors arrive in Ireland?,8,date
76,What was the chance of death from HIV in 2008?,38,perc
77,What percentage of the population is infected by HIV each year?,38,perc
78,What percentage of people over age 49 have HIV?,38,perc
79,What are steamed dumplings called?,20,termeq
80,What do aircraft carriers disallow naval forces to accomplish?,12,desc
81,What was the name of the third submarine launched for the system?,44,veh
