,text,lbl_index,labels
0,What handwriting art form was taught in the early madaris?,1,ENTY
1,How many Fortune 500 companies are based in Oklahoma?,4,NUM
2,What type of company's are  critiscized,3,HUM
3,What is the federal system is defended through?,0,DESC
4,What is federalism out the United States?,0,DESC
5,Are the state requirements to be tax exempt the same as the Federal requirements?,0,DESC
6,Who is credited as founding political Zionism?,3,HUM
7,What is another group that anti-masonic muslims link to zionism?,3,HUM
8,What is not considered to be a core belief of Zionists?,0,DESC
9,Through what system are handguns being replacedby the U.S. Army?,1,ENTY
10,What was a naginata?,0,DESC
11,What does the acronym SEATO stand for?,2,ABBR
12,What is the ICT?,2,ABBR
13,What does AI stand for?,2,ABBR
14,What does AAT stand for?,2,ABBR
15,How does heat propagate through a vaccuum?,0,DESC
16,Why is glass evaporated?,0,DESC
17,How is heat associated with emission from an object?,0,DESC
18,What are digestive enzymes mostly secreted as?,1,ENTY
19,What does bile from the liver help do?,0,DESC
20,What is lactase?,0,DESC
21,What is a SSBI?,2,ABBR
22,What is an ogonek? ,0,DESC
23,What is a cardinal bishop?,0,DESC
24,What does the Castro culture's name mean?,0,DESC
25,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
26,What does the name Shu refer to?,1,ENTY
27,What are pates?,0,DESC
28,What are ganglia?,0,DESC
29,What are Akathists?,0,DESC
30,"What is a word for ""defent from evil?""",1,ENTY
31,Who is the new evil force that has been enslaving people?,3,HUM
32,"What word literally means ""warding off evil?""",1,ENTY
33,Where does its name come from?,0,DESC
34,Where does the word dog originate?,5,LOC
35,"Where does the word ""algebra"" come from?",0,DESC
36,What is Railway Himachal famous for?,0,DESC
37,What is Uttar Pradesh known for?,0,DESC
38,What does Himachal have a rich heritage of?,1,ENTY
39,Where do plants get their energy?,5,LOC
40,Where were the 3.7 billion-year-old metasedimentary rocks discovered?,5,LOC
41,What liquids come from hydrothermal bottles?,1,ENTY
42,How is a haze formed?,0,DESC
43,what is explained by the subtropical low-pressure?,0,DESC
44,From where do tropical storms travel from to St. John's?,5,LOC
45,What happened to Buckingham after Queen Victoria left?,0,DESC
46,What happened to Hornswoggle?,0,DESC
47,Where did Liberius go?,5,LOC
48,What is the second largest economy in the US?,5,LOC
49,When did the global economic recession start?,4,NUM
50,What type of economy has rule of law help China and Vietnam move towards?,1,ENTY
51,What part of the Wii is employed to use weapons?,1,ENTY
52,What kind of movement interfaced with the sword in Nintendo?,1,ENTY
53,What can result in incarceration?,0,DESC
54,What is lactase?,0,DESC
55,What is RNA?,0,DESC
56,What is digestion?,0,DESC
57,What caused a Tetanus outbreak?,0,DESC
58,What makes pure metals impure metals?,0,DESC
59,|Creating defects in what softens a metal?,1,ENTY
60,What kind of the wine is regularly consumed by the French?,1,ENTY
61,What kind of role do insects play in their ecosystem?,3,HUM
62,What do insects gather from plants?,1,ENTY
63,How do the larvae of the parasitoid wasps kill their prey?,0,DESC
64,Why do the birds fly north?,0,DESC
65,What is the unit of magnetic properties of nuclear molecules?,1,ENTY
66, What was John F. Kennedy's support of the President based on?,0,DESC
67,Which piece of legislation quickly followed President Kennedy's assassination?,1,ENTY
68,Which piece of legislation quickly followed Vice-President Kennedy's assassination?,1,ENTY
69,What is another term for white marble?,1,ENTY
70,What kind of marble was used for the walls and floors of the abbey?,1,ENTY
71,What type of rock forms from limestone mixed with bitumen?,1,ENTY
72,What was the primary reason for India children being employed?,0,DESC
73,Computing resources that are created in cell phones are called what?,1,ENTY
74,What does the communicator do?,0,DESC
75,How is RFI generated?,0,DESC
76,What makes it difficult for clouds to form?,0,DESC
77,How is a haze formed?,0,DESC
78,Why is cloud formation so common?,0,DESC
79,A dog scratch can lead to what medical condition?,1,ENTY
80,What caused a Tetanus outbreak?,0,DESC
81,What is Kaminfegerkinder?,0,DESC
82,what is qbuzz,0,DESC
83,What is q-glass?,0,DESC
84,"What form of c, when written, contains a dot over the letter?",1,ENTY
85,"What does a ""T"" rating symbol on an electrical contact mean?",2,ABBR
86,"What does a ""T' rating symbol on an electrical contact not mean?",2,ABBR
87,What numeral system originated in India?,1,ENTY
88,Where did Arabic numerals originate?,5,LOC
89,What is the lowest numbered A paper that is uncommonly used at home?,1,ENTY
90,What is one attribute of the universe?,1,ENTY
91,Who launched Operation Reach Infinite?,3,HUM
92,What are some concepts of the universe according to theologians?,0,DESC
93,Who was Franklin D. Roosevelt the leader of?,3,HUM
94,Who was the former general to President Eisenhower?,3,HUM
95,What was the Lombardi Mandolin untuned to?,1,ENTY
96,"Who are ""mestizos""?",3,HUM
97,What genus are the Spanish ibex?,1,ENTY
98,What does the typical latino in media look like?,1,ENTY
99,What board do the members of the BYU Board of Trustees also belong to?,3,HUM
100,What council is considered to be anti-Zionist?,3,HUM
101,What was the governing councel called?,1,ENTY
102,What is a genotype?,0,DESC
103,Autosomal DNA is what?,1,ENTY
104,What does the term LDL stand for?,2,ABBR
105,GMT used what instead of atomic clocks?,1,ENTY
106,What is the schedule of time called when it is not daylight savings time?,1,ENTY
107,What did many existing computer systems that relied on time zones need because of the DST rule changes?,1,ENTY
108,What does literature as a critical tool allow readers to do?,0,DESC
109,What is a cladogram?,0,DESC
110,What is a G-note a reference to?,0,DESC
111,What is an IP address?,0,DESC
112,How does the halogen bulb decrease darkening over time?,0,DESC
113,How is the filament attached to the bulb?,0,DESC
114,Why are luminescent light sources ideal for photography?,0,DESC
115,What is the area of water?,4,NUM
116,What is the total area of New Delhi in square miles?,4,NUM
117,What is the diameter of the uptown area?,4,NUM
118,What was purple considered the color for?,1,ENTY
119,What extracts the energy from the purple portion of the spectrum?,1,ENTY
120,What is the complementary color to blue?,1,ENTY
121,Where were the soybeans coming from?,0,DESC
122,Where does the word animal come from?,0,DESC
123,Where did the coconut rhinoceros beetle originate?,5,LOC
124,How do penguins migrate?,0,DESC
125,How do birds store energy?,0,DESC
126,Where do tubenosed birds breed?,5,LOC
127,What was the favorite slogan of Thomas J. Watson Sr.?,0,DESC
128,What is the meaning of Education psychology?,0,DESC
129,Can one increase their brain efficency?,0,DESC
130,What type of excercise has shown the best benefit for the brain?,1,ENTY
131,What kind of religion is Hinduism considered?,1,ENTY
132,What type of religion is Buddhism?,1,ENTY
133,What was the religion of Muawiyah's wife's tribe?,1,ENTY
134,what is explained by the subtropical low-pressure?,0,DESC
135,What is the range of paper dampness?,0,DESC
136, What type of weather is common in Houston?,1,ENTY
137,What is the American Rule?,0,DESC
138,What is rule of law not important for?,0,DESC
139,What is a never used corollary of the first law?,0,DESC
140,What is a WISP? ,2,ABBR
141,What is an ogonek? ,0,DESC
142,Who is the local postal service?,3,HUM
143,What does a candidate sweat on?,1,ENTY
144,What causes adiabatic cooling?,0,DESC
145,"Which type of weather fronts are responsible for severe weather such as gales, thunderstorms, hail, and heavy rain in Melbourne?",1,ENTY
146,What monsoon affects Nanjing?,1,ENTY
147,What did Freddie Mercury die of?,1,ENTY
148,What was the likely cause of death for Chopin?,0,DESC
149,What was Sir Francis Drake's cause of death?,0,DESC
150,What are pronounced unaspirated?,1,ENTY
151,"From Nasrani for Syriac, what does Christian mean?",0,DESC
152,Where does the word dog originate?,5,LOC
153,"Where does the word ""algebra"" come from?",0,DESC
154,"From which language does the word ""adolescence"" originate?",1,ENTY
155,What do hysteresis synchronous motors' rotors do when slip rate decreases?,0,DESC
156,What is an Atsudiantinas?,0,DESC
157,What are CDPs?,2,ABBR
158,What was a dpon-chen?,0,DESC
159,Architecture involves the creation of what?,1,ENTY
160,What is a cladogram?,0,DESC
161,What is designing as it applies to built environments?,0,DESC
162,How many firefighters work for the New York City Fire Department?,4,NUM
163,What fire / rescue squad was formed in 2007 ,3,HUM
164,How many professional baseball teams are located in New York?,4,NUM
165,When a sound is lenited it becomes what?,1,ENTY
166,What occurs in sound clusters?,0,DESC
167,What is generally the lowest sound a human can hear?,1,ENTY
168,Why is Captain Fritz Joubert Duquesne famous?,0,DESC
169,What is the cause of atmospheric circulation?,0,DESC
170,What does the name zinc or zinke mean?,0,DESC
171,What does the name Shu refer to?,1,ENTY
172,"From Nasrani for Syriac, what does Christian mean?",0,DESC
173,How do brent geese migrate?,0,DESC
174,How high does the Shard London Bridge rise?,4,NUM
175,What new type of construction allowed the making of skyscrapers?,1,ENTY
176,What type of hazard is noxious chemicals?,1,ENTY
177,What is meant by synthetic chemicals?,0,DESC
178,What does the acronym EPA oppose?,2,ABBR
179,What causes inflammatory tuberculosis?,0,DESC
180,What is asthma the result of?,0,DESC
181,What bacterium causes tuberculosis infection?,1,ENTY
182,Who was Mellitus?,3,HUM
183,What is diarrhea?,0,DESC
184,What kind of disease is AIDS?,1,ENTY
185,What is the goal of protecting National Parks from damage?,0,DESC
186,what is explained by the subtropical low-pressure?,0,DESC
187,What monsoon affects Nanjing?,1,ENTY
188,What is used for the loud-voiced release of obstruents?,1,ENTY
189,What is the Scheinergrade system used for?,0,DESC
190,What is the micro-plug rated for?,1,ENTY
191,Where did the fire at Battersea Station Power cause a massive power failure?,5,LOC
192,Why did the train catch fire?,0,DESC
193,"What was the popularity of The Capital Theater, in the past?",0,DESC
194,How does heat propagate through a vaccuum?,0,DESC
195,What does the name zinc or zinke mean?,0,DESC
196,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
197,What does the Castro culture's name mean?,0,DESC
198,What year did the United Nations General Assembly disband?,4,NUM
199,What are the markets called that are located and run by the boroughs?,1,ENTY
200,Where in Thuringia did BMW get it's start in the 1920's?,5,LOC
201,What pitcher led the Cubs in Game 6?,3,HUM
202,Where did the Cubs easily win the first two games of the NLCS?,5,LOC
203,Who allegedly hit a home run to the Center?,3,HUM
204,Where do plants get their energy?,5,LOC
205,How do plants absorb essential elements that are present in the soil?,0,DESC
206,How do plants interact with other species in their environment?,0,DESC
207,"What is ""section"" a reference to?",0,DESC
208,When does the internet save a copy of a website?,4,NUM
209,What are the basic ingredients of water?,1,ENTY
210,What is used to collect the water expelled from pressing?,1,ENTY
211,Where do plants store their water to avoid the conditions?,5,LOC
212,What are Akathists?,0,DESC
213,What makes pure metals impure metals?,0,DESC
214,What is uranium's symbol on the Periodic Table of Elements?,1,ENTY
215,What isn't uranium's symbol on the Periodic Table of Elements?,1,ENTY
216,What is the reason the northern fringe receives more   cloudiness and rainfall?,0,DESC
217,Where do clouds lose most of their content before getting to the inner alpine valleys?,5,LOC
218,What makes it difficult for clouds to form?,0,DESC
219,What can schools do to help children led to better work lives?,0,DESC
220,What seperates the children in secondary school?,1,ENTY
221,What is important for a student in education?,0,DESC
222,What are the two integers called?,1,ENTY
223,The term for whole numbers is what?,1,ENTY
224,To whom is the silk paper making process ascribed?,3,HUM
225,How is most cotton harvested?,0,DESC
226,Silkworms are used by humans for producing what?,1,ENTY
227,What was the theme for the 2014 Youth Olympic Games?,0,DESC
228,What is the Barcelona motto?,0,DESC
229,What is the Everton club motto?,0,DESC
230,What is a SSBI?,2,ABBR
231,What happened before the 1980s?,0,DESC
232,What happened in 1970?,0,DESC
233,What happened between 1938 to 1995?,0,DESC
234,What is lactase?,0,DESC
235,What is diarrhea?,0,DESC
236,What does RACF stand for?,2,ABBR
237,In which of Einstein's two theories do time and clocks merge into spacetime?,1,ENTY
238,What was the machine used by Mr. Peabody and Sherman named?,1,ENTY
239,How long has time travel been a topic in theory?,4,NUM
240,Who is Chairmen of the government in Ireland?,3,HUM
241,What are the Paisos Catalans,0,DESC
242,What is main street Cork?,5,LOC
243,What is a torta frita?,0,DESC
244,How is digital photography different from film?,0,DESC
245,How is data stored on DVDs?,0,DESC
246,How is writing produced?,0,DESC
247,What is the meaning of the later-believed pre-Celtic Old European origin of London's name?,0,DESC
248,What does the name zinc or zinke mean?,0,DESC
249,What does the name Shu refer to?,1,ENTY
250,what is qbuzz,0,DESC
251,What is Kaminfegerkinder?,0,DESC
252,What is ecclesiology?,0,DESC
253,In what year did the first zeppelin make flight?,4,NUM
254,What manager of Led Zeppelin tried to sign Queen?,3,HUM
255,What band was lead singer John Bonham from?,3,HUM
256,How is digital photography different from film?,0,DESC
257,What was the difference between LaserDisc and LaserVision in the UK?,0,DESC
258,Japan is the origin of modern paper making and what type of printing?,0,DESC
259,What makes pure metals impure metals?,0,DESC
260,What is uranium's symbol on the Periodic Table of Elements?,1,ENTY
261,What isn't uranium's symbol on the Periodic Table of Elements?,1,ENTY
262,How do the larvae of the parasitoid wasps kill their prey?,0,DESC
263,How do penguins migrate?,0,DESC
264,What connects the parts inside a female insect's reproductive system?,1,ENTY
265,What is the Expedition-1?,0,DESC
266,What is Jidaigeki?,0,DESC
267,What is a SSBI?,2,ABBR
268,What was a dpon-chen?,0,DESC
269,What percentage of students belong to the LSD?,4,NUM
270,Which neurotransmitter plays a large role in drug abuse?,1,ENTY
271,What European logicians did Avicennian logic borrow from?,3,HUM
272,What concept was created for quatum logic?,1,ENTY
273,What did logical empiricism try to combine with mathematical logic?,1,ENTY
274,What state of Germany did Kaliningrad Oblast form a part of?,5,LOC
275,What is the official name for Estonia?,5,LOC
276,What is one of Germany's constituent states?,5,LOC
277,What is an LTRO?,2,ABBR
278,What is an ogonek? ,0,DESC
279,What is the definition of a charity?,0,DESC
280,What did the Celtic Cross represent?,0,DESC
281,What did the Easter and Western Catholic church have in common?,0,DESC
282,What are these properties?,0,DESC
283,What value does RK represent?,4,NUM
284," What day of the week was September 14, 2011?",4,NUM
285,"What day of the week was July 23, 1989?",4,NUM
286,How which calendar did some countries notate the date?,0,DESC
287,What is Jidaigeki?,0,DESC
288,What is Kaminfegerkinder?,0,DESC
289,What are Akathists?,0,DESC
290,Why would humans have begun to create gods?,0,DESC
291,In what year did Spain colonize Mexico City?,4,NUM
292,Under what basis did Richard Nixon assert an expansion of the power of the President?,0,DESC
293,What did Hoover confirm the existence of?,1,ENTY
294,What Act did Disraeli push through Parliment in 1876?,1,ENTY
295,What type of communism system does Spain have?,1,ENTY
296,What did the Era of Succession follow?,1,ENTY
297,What political system was supported by capitalism?,1,ENTY
298,What was a small collection of texts?,1,ENTY
299,What tone is not extensive?,1,ENTY
300,What is a WISP? ,2,ABBR
301,What is in-circulus testing also known as?,1,ENTY
302,What are copper salts used to test?,1,ENTY
303,What does grey-box testing involve?,0,DESC
304,The distinction between clothing and what is always clear?,0,DESC
305,What is the main difference between cladistics and stemmatics?,0,DESC
306,The biggest difference between brains of mammals and other vertebrates is what?,0,DESC
307,What is Helen Meles noted for?,0,DESC
308,What did Deanna Pasternak star in?,1,ENTY
309,What was Elizabeth primarily interested in? ,1,ENTY
310,Why is Captain Fritz Joubert Duquesne famous?,0,DESC
311,What was Avicenna known for?,0,DESC
312,What did Einstein with the 1921 Nobel Prize for?,0,DESC
313,In what year did the Vietnam War end?,4,NUM
314,What political structure did Vietnam have?,3,HUM
315,Who was the Prime Minister of Vietnam?,3,HUM
316,What is an Atsudiantinas?,0,DESC
317,What is a Thysanura?,0,DESC
318,What is a cladogram?,0,DESC
319,Why did the term fingers become popular?,0,DESC
320,What can plant callus be coaxed into doing?,0,DESC
321,What is cyberterrorism?,0,DESC
322,What is the ICT?,2,ABBR
323,What is an IP address?,0,DESC
