,texts,labels
0,How do I install a tile floor ?,manner
1,How do I start a web based business ?,manner
2,How can your school march in the Macy 's Thanksgiving Parade ?,manner
3,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,manner
4,How do Ouija Boards work ?,manner
5,How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?,manner
6,How does a bill become law ?,manner
7,How did the 7th inning stretch get started ?,manner
8,How do you solve `` Rubik 's Cube '' ?,manner
9,How do I find a web address for a company ?,manner
10,How can you be happy ?,manner
11,How can I get a comic character I made copyrighted and published ?,manner
12,How do you write a correct critical analysis of a poem ?,manner
13,How do you determine heating requirements for your home ?,manner
14,How do you become a dentist ?,manner
15,How do you get bubblegum out of carpet ?,manner
16,How can SQL queries be improved ?,manner
17,How do you do a bibliography page ?,manner
18,How do you use an intranet ?,manner
19,How can I find out how much it costs to raise a baby for six months ?,manner
20,How do windmills work ?,manner
21,How does an ion drive work ?,manner
22,How do you clean an LCD monitor screen ?,manner
23,How is plastic made ?,manner
24,How does a parachute work ?,manner
25,How do you measure the heat of the sun ?,manner
26,How do I know someone is truly in love with me ?,manner
27,How do you convert foot-pounds to foot-inches ?,manner
28,How does marijuana lead to other drugs ?,manner
29,How do you write MLA style bibliographies for an Internet source ?,manner
30,How do I log on to home page at Headquarters U.S. European Command ?,manner
31,How do I find info about rice importers in the world ?,manner
32,How do vending machines tell if your dollar is a 1 or a 5 ?,manner
33,How do fuel injectors work ?,manner
34,How do microwaves work ?,manner
35,How did Rocky Marciano die ?,manner
36,How is Answers.com different from KnowPost.com ?,manner
37,"In My Antonia , how is Mr. Shimerda out of place on the farm ?",manner
38,How did P.T. Barnum bill the diminutive Charles S. Stratton ?,manner
39,How do I e-mail someone at aol.com from yahoo.com ?,manner
40,How does food color affect how you think it will taste ?,manner
41,How can you tell if someone is lying ?,manner
42,How did Lee Harvey Oswald purchase his rifle ?,manner
43,How did former WWF wrestler Rick Rude die ?,manner
44,How can I search for a word within my own webpage ?,manner
45,How did Super President gain his powers on the animated series ?,manner
46,How did serfdom develop in and then leave Russia ?,manner
47,How does color affect a person psychologically ?,manner
48,How do I register a trade name in North Carolina ?,manner
