,texts,labels
0,is elder scrolls online the same as skyrim,other
1,can you use oyster card at epsom station,other
2,is the federal court the same as the supreme court,other
3,did abraham lincoln write the letter in saving private ryan,other
4,does the icc has jurisdiction in the united states,other
5,is there a now you see me 3 coming out,other
6,does a penalty shoot out goal count towards the golden boot,other
7,can elves and humans mate lord of the rings,other
8,the boy in the plastic bubble based on true story,ind
9,have the milwaukee bucks ever won a championship,other
10,does the world cup final go to penalties,other
11,is kingdom manga based on a true story,cremat
12,is croatia part of the european economic area,other
13,was the leaning tower of pisa built leaning,other
14,is the movie fool's gold a true story,cremat
15,can you have a right and left bundle branch block,other
16,is an australian shepherd the same as an australian cattle dog,animal
17,is the blues brothers based on a true story,ind
18,is newcastle upon tyne the same as newcastle,other
19,is post office and royal mail the same,other
20,is lord of the rings after the hobbit,ind
21,is the fallen movie going to have a sequel,cremat
22,does anyone on instagram have 1 billion followers,other
23,in the phantom menace is padme the queen,other
24,is a jack russell considered a small breed,animal
25,is there an international airport in naples italy,other
26,can you buy cadburys creme eggs all year round,other
27,do homologous chromosomes carry information for the same traits,other
28,will there be a season 2 of marvel's iron fist,other
29,is 844 a toll free number in canada,other
30,does any other country have daylight savings time,country
31,has anyone ever pitched back to back no hitters,ind
32,is there a black bike week in myrtle beach,other
33,are static shock and black lightning the same person,ind
34,is there such a thing as unbreakable glass,other
35,several cranial nerves innervate structures of the tongue,body
36,is porto rico a part of the united states,other
37,is the sears tower the same as the hancock building,other
38,is tokyo ghoul re related to tokyo ghoul,termeq
39,do texas state troopers have to wear hats,other
40,is vaping illegal if you are under 18,other
41,do they find the body in stand by me,other
42,is ferguson jenkins in the hall of fame,other
43,is station 19 a grey's anatomy spin off,other
44,is dollar tree the same as dollar general,other
45,the movie rudy based on a true story,cremat
46,is the movie the wall a true story,cremat
47,does hot and sour soup have a lot of sodium,food
48,paths from the cerebral cortex to the spinal cord are called the corticospinal tracts,other
49,do you have to bounce the ball in afl,other
50,is the movie the mountain between us based on a real story,cremat
51,can i use dexron iii for dexron ii,other
52,can i own a handgun in the uk,other
53,can you have two jobs in south africa,title
54,does oregon have the stand your ground law,other
55,are pumas cougars and mountain lions the same animal,animal
56,has tom hanks ever won an academy award,other
57,is jim hart in the hall of fame,other
58,do you need a gun license to buy a gun in nj,other
59,are chess pie and buttermilk pie the same,food
60,is there going to be a season 4 of the border,other
61,does the nissan rogue have all wheel drive,other
62,do new zealand and australia have the same flag,other
63,did austria qualify for the world cup 2018,other
64,is carrie underwood in the movie soul surfer,other
65,is there a difference between saline and lactated ringer's,desc
66,do you put water in a fog machine,other
67,is national guard boot camp the same as army,other
68,do blue jays take over other birds nests,animal
69,is the olympic torch always lit in greece,other
70,can goalie pick up ball from throw in,other
71,is the cecil hotel still open in los angeles,other
72,is a birth certificate a valid form of id,other
73,do the individual parallel lines in a parallel circuit have different currents flowing through them,other
74,is the orientation of a protein sequence important for the protein function,other
75,do guinea pigs come from papua new guinea,animal
76,is trelane a member of the q continuum,other
77,is antioch ca part of the bay area,other
78,is st. patricks day always on march 17,other
79,is there a national bring your dog to work day,other
80,does the iphone 8 plus have touch id,other
81,is there a fourth book of magnus chase,cremat
82,does a goal from a throw in count,other
83,the visual cliff is a device for studying,other
84,is it possible to download all of wikipedia,other
85,the long road home is it a series,other
86,do you need to put return address on mail,other
87,is guillain barre syndrome a lower motor neuron disease,dismed
88,is himalaya the highest mountain in the world,mount
89,is a 1-888 number toll free,other
90,is the graviton part of the standard model,other
91,does the mail run on memorial day weekend,other
92,can you get drafted out of high school into the nba,other
93,does the honda insight need to be plugged in,other
94,is taylor still on the bold and beautiful,other
95,is blue cross the same as blue shield,other
96,is mall of asia the biggest mall in asia,other
97,is 44 rem mag the same as 44 mag,other
98,does canada's worst driver lose their license,ind
99,are family dollar and dollar general owned by the same company,other
100,can you drink in the street in glasgow,food
101,can you inhale alcohol vapors and get drunk,other
102,can u really hear the ocean in a shell,other
103,is sweet italian sausage the same as mild,food
104,can you buy a car in wisconsin on sunday,other
105,is electrode potential the same as reduction potential,other
106,is sperm concentration the same as sperm count,other
107,did ward and june cleaver sleep in the same bed,other
108,is canada the only country with maple trees,country
109,were the bodies of operation red wings recovered,other
110,is the top thrill dragster the tallest roller coaster,other
111,is the red cross part of the un,body
112,did wales ever qualify for the world cup,other
113,is beauty and the beast still on broadway,other
114,does marvel own the rights to fantastic four,other
115,does bree van de kamp go to jail,other
116,do penalties after extra time count towards golden boot,other
117,if a table contains a primary key there can be no duplicate records in a table,other
118,did we leave the lunar rover on the moon,other
119,was the movie the guardian based on a true story,cremat
120,did lebanon ever qualify for the world cup,other
121,is the movie the mission based on a true story,cremat
122,did china ever qualify for fifa world cup,other
123,are england in the world cup semi finals,other
124,does all of japan have the same time zone,other
125,can you go out with a wild card in uno,other
126,can you download itv hub on xbox 360,other
127,does a trapezoid have one set of parallel lines,other
128,can i use my veteran id to get on base,other
129,can there be a beach on a lake,other
130,does every us citizen have a social security number,other
131,does jimmy o die in sons of anarchy,other
132,are they coming out with a new tinkerbell movie,other
133,are cash money and money mart the same company,gr
134,does the texas flag fly at the same height as the american flag,other
135,does borderlands 2 handsome collection have all dlc,other
136,is there going to be a season 3 of project runway junior,other
137,is transit aba number the same as routing number,other
138,does the f train stop at queens plaza,other
139,is there a difference between slugs and snails,desc
140,was the french quarter affected by hurricane katrina,other
141,can one point be in two different planes,other
142,are liquor stores open on sunday in wv,other
143,is there still a royal family in spain,other
144,is the limbic system the oldest part of the brain,body
145,did bonnie blairs daughter make the olympic team,other
146,was tom holland in amazing spider man 2,other
147,can an aftershock be stronger than an earthquake,other
148,can you have identical twins that are different genders,other
149,was the movie 300 based on real events,cremat
150,is great britain part of the european union,other
151,can you send an envelope without a return address,other
152,is canada in the united states of america,other
153,does batman and harley quinn take place in the dcau,other
154,can a 3 way bulb work in any lamp,other
155,are hastings direct and hastings premier the same company,gr
156,is the lexus es 350 front wheel drive,other
157,is there an airport on martha's vineyard,other
158,does a macbook air have an ethernet port,other
159,is cornwall in the south west of england,other
160,can a man have more than one wife in utah,other
161,did the lead singer of the who have a stutter,ind
162,does an ace beat a queen in war,other
163,does the switch come with 1 2 switch,other
164,can you get aero bars in the us,other
165,of all the points on the production possibilities curve only one point represents an efficient point,other
166,was the battle of gettysburg the bloodiest battle of the civil war,event
167,is methodist the same as church of england,other
168,do you get paid for being on survivor,money
169,were all the bodies recovered from operation red wings,other
170,does dean come back to life in supernatural,other
171,did rocky beat apollo creed in rocky 1,other
172,is the uk part of the schengen zone,other
173,are there any mgm casinos in atlantic city,other
174,is tomato puree the same as tomato sauce,food
175,is tom and jerry in the public domain,other
176,are you allowed to carry a knife in canada,other
177,is the cash for clunkers program still active,other
178,is the united states coast guard part of the military,other
179,can a felon own a gun in nj,other
180,have the buffalo bills ever won a super bowl,other
181,does the empire state building have a 600th floor,other
182,can the house of representatives impeach a federal judge,other
183,can you travel to turkey with a french id card,other
184,is a set an element of its power set,other
185,do u need a licence for an air rifle in uk,other
186,did gerry rafferty sing stuck in the middle with you,other
187,is the movie mighty joe young a true story,cremat
188,do the winners of the europa league qualify for the champions league,other
189,do you have to turn right at a red light,other
190,can substrate level phosphorylation occur in the absence of oxygen,other
191,does switzerland give a gun to every household,other
192,is the movie se7en based on a book,cremat
193,does puerto rico vote in the us presidential election,other
194,can you hit the backboard on a free throw,other
195,is there a jaws ride at universal studios hollywood,other
196,will there be a new series of the durrells,other
197,did hurricane audrey create a recorded storm surge,other
198,do they actually film movies at universal studios,other
199,is the game go the same as othello,sport
200,is the mummy a remake of the mummy,other
201,india is the first country to reach mars,country
202,can you fly a flag at half mast,other
203,can gibraltar coins be used in the uk,other
204,have the raptors ever made it to the finals,other
205,are the paralympic games the same as the special olympics world games,sport
206,are liquor stores open in oklahoma on 4th of july,other
207,can i carry my gun in my car in wisconsin,other
208,is the last key the last insidious movie,cremat
209,is kong skull island part of a series,other
210,is lake superior the second largest lake in the world,other
211,does a tornado watch mean there is a tornado,def
212,can you see mount whitney from death valley,other
213,can you get 2 yahtzees in a game,other
214,is the hundred foot journey based on a book,other
215,is west edmonton mall the biggest mall in the world,other
216,did the new jersey plan suggest only one house of congress,other
217,is birmingham the 2nd largest city in uk,city
218,can you see alpha centauri without a telescope,other
219,is the lincoln memorial on the national mall,other
220,can you drink when your 18 with your parents in wisconsin,food
221,is st pancras station the same as kings cross,other
222,is equatorial guinea and guinea the same country,country
223,do universal life policies have a cash value,other
224,can someone born on a military base be president,ind
225,can you checkmate with two bishops and a king,other
226,can you get a tattoo with an 18 year old,other
227,is the federal reserve bank of new york a government agency,gr
228,does canada's prime minister hold a seat in the house of commons,ind
229,can a runner advance on a dead ball in baseball,other
230,did over the garden wall win an emmy,other
231,is there a sequel to fantastic beasts and where to find them,other
232,is the fairmont hotel part of a chain,other
233,is one world trade center taller than the empire state building,other
234,has the us ever gone to the world cup,other
235,is estee lauder and clinique the same company,gr
236,is charlie from charlie and the chocolate factory still alive,other
237,can you blink one eye at a time,other
238,do you have to have two license plates in ontario,other
239,were the world trade centers the tallest buildings in america,other
240,is there still an east and west berlin,other
241,can i carry a gun in my car south carolina,other
242,is stanley cup 2-3-2,other
243,has croatia ever won a world cup final,other
244,is the book of mark in the new testament,cremat
245,has any team won the superbowl in their own stadium,gr
246,is there a dunkin donuts in all 50 states,other
247,was the five heartbeats based on a real group,other
248,have england ever not qualified for the world cup,other
249,is eddie and the cruisers a real story,cremat
250,can you use chlorine in a saltwater pool,other
251,are horses donkeys and zebras the same species,animal
252,egypt is bordered by the red sea and the mediterranean sea,other
253,orange is the new black season 2 does alex come back,other
254,is luis tiant in the hall of fame,other
255,are the channel islands part of the united kingdom,other
256,did they ever find the boat from the perfect storm,other
257,is godzilla and king kong in the same universe,other
258,has tunisia ever been in the world cup,other
259,is a professional degree higher than a phd,title
260,is there a difference between ez pass and express e zpass,desc
261,is the movie unbreakable based on a true story,cremat
262,is anyone from the wizard of oz still alive 2017,ind
263,is the irish pound the same as the british pound,other
264,is blue bell ice cream only sold in texas,food
265,do you need a gun permit in vermont,other
266,is mount st helens still an active volcano,other
267,are they removing the carving from stone mountain,other
268,is wally west and bart allen the same person,other
269,when did you have to have a passport to go to canada,date
270,is there a second series of the good karma hospital,other
271,is there more than one john wick movie,other
272,did the great fire of london destroy st paul's cathedral,other
273,is the nasopharynx part of the respiratory system,body
274,in early 19th century new orleans where was real african music heard in the community,other
275,does better call saul take place after breaking bad,termeq
276,does the same actor play twins on deception,ind
277,are the faroe islands part of the eu,other
278,is glen cove part of town of oyster bay,other
279,is the netflix marvel shows in the mcu,other
280,is the domincan republic part of the usa,other
281,are king kong and godzilla in the same universe,other
282,does north carolina get a lot of hurricanes,other
283,can you drop kick a field goal in nfl,other
284,can i get a public defender for a civil case,other
285,would a change in price shift the demand curve,other
286,does north carolina get snow in the winter,other
287,does the fender hot rod deluxe have an effects loop,desc
288,was the soviet union a member of the axis powers,gr
289,has a city ever won all championships in one year,city
290,can you buy beer on sunday in ok,other
291,do i need a concealed carry permit in nh,other
292,is there a difference between 9x19 and 9mm luger,desc
293,did canada ever make it to the world cup,other
294,is the east coast on daylight savings time,other
295,did the first hot air balloon fly successfully,other
296,can u play playstation 2 games on ps3,sport
297,is australia still part of the british empire,other
298,minnie driver did she sing in phantom of the opera,ind
299,is the area of zabeel park equal to that of 45 football playgrounds,other
300,can you knee a ball back to the goalkeeper,other
301,are all house of representatives up for election at the same time,other
302,can alkenes have more than one double bond,other
303,is a section of dna recognized by a restriction endonuclease,other
304,are the muppets the same as sesame street,other
305,is every strong electrolyte also a strong acid,other
306,do games from xbox 360 work on xbox one,sport
307,was the revolutionary war before the declaration of independence,event
308,is there a bridge from spain to gibraltar,other
309,have the nashville predators won the stanley cup,other
310,can i get into canada with an enhanced id,other
311,did england lose a game in the 1966 world cup,other
312,did monk ever find out who killed his wife,ind
313,can a us citizen hold more than one passport,other
314,did torrey pines park start out as a state reserve,other
315,was the tv show 9-1-1 cancelled,cremat
316,are exposure and shutter speed the same thing,other
317,is star wars the last jedi the last star wars,other
318,did east germany ever qualify for the world cup,other
319,did morgan corinthos come back to general hospital,other
320,is dobby in the goblet of fire movie,other
321,is part of niagara falls in new york,other
322,are there any of the beatles still alive,other
323,can you go out on a jack in cribbage,other
324,is new york life a mutual insurance company,gr
325,is gilley's in pasadena texas still open,other
326,is star trek into the darkness a sequel,other
327,is there a canal from birmingham to london,other
328,are the british virgin islands part of great britain,other
329,does the mason dixon line run through new jersey,other
330,can you see the great wall of china from space wiki,other
331,has el salvador ever been in the world cup,other
332,will there be a adventures of tintin 2,other
333,is nebraska in the middle of the usa,other
334,is there a movie for anthem by ayn rand,cremat
335,can you play a zone defense in the nba,other
336,can you drive with a beer in texas,other
337,did morris brown college get their accreditation back,gr
338,the other boleyn girl is it based on a true story,ind
339,does creon want to be king of thebes,other
340,was south africa part of the british commonwealth,other
341,can you get silk without killing the worm,other
342,do i need a license to shoot at a gun range,other
343,does a fluid ounce of water weigh an ounce,weight
344,do i need to provide id to police,other
345,is the first order the same as the empire,other
346,are there any dominick's stores still open,other
347,has the world cup ever been stolen before,other
348,is cottage cheese the same as cheese curds,food
349,can heat energy be converted to electrical energy,other
350,is hwy 69 part of the trans canada highway,other
351,is cow milk the same as breast milk,food
352,can you score off a kickoff in soccer,other
353,did the berlin wall go all around west berlin,other
354,is the movie the matrix based on a book,cremat
355,can there be an economy without economic problem,other
356,can a world cup final go to penalties,other
357,is qatar going to be the world cup host,other
358,do they end up together in no strings attached,other
359,is switched at birth based on a real story,other
360,is ryne sandberg in the hall of fame,other
361,are they making a season seven of once upon a time,other
362,does xbox 360 games play on xbox one,sport
363,does the m train go to broadway junction,other
364,are ipv6 unique local unicast addresses routable within and outside an organization,other
365,can a catholic receive communion in an episcopal church,other
366,do any of the originals die in the originals,other
367,when does ned stark die in the show,date
368,was the empire state building the tallest in the world,other
369,is there a second series of pan am,other
370,is chicago the movie based on a true story,cremat
371,is red lobster and olive garden owned by the same company,other
372,is alex cross trial part of the series,other
373,is the riddler and the joker the same character,ind
374,does hit the floor have a new cast,other
375,is the optic nerve part of the central nervous system,body
376,can you kill lice with a hair dryer,other
377,does harley davidson have a patent on their sound,other
378,is there a new series of sherlock holmes,other
379,were croatia ever in a world cup final,other
380,is the swan and dolphin hotel owned by disney,other
381,does the mississippi flow into the gulf of mexico,other
382,does each person win a car on family feud,other
383,is palma mallorca and palma majorca the same place,other
384,is the gulf of california the same as the sea of cortez,other
385,can a person have both female and male parts,other
386,is the us virgin islands part of the usa,other
387,why does italy have both a prime minister and president,reason
388,pir panjal is a part of trans himalaya,other
389,do chad and romania have the same flag,other
390,is the blue ridge mountains part of the appalachians,other
391,are turkeys and peacocks in the same family,animal
392,do police cars automatically scan license plates uk,other
393,is co clare in the republic of ireland,other
394,was the american president filmed in the white house,ind
395,does emma in once upon a time find love,other
396,is palestine a member state of the un,state
397,is there going to be a race 4,other
398,can i carry a handgun in my car in alabama,other
399,is there a clip at the end of inifinity war,other
400,is there a book 7 of the mortal instruments,other
401,is the virgin island part of the us,other
402,is there a taco bell in mexico city,other
403,is puget sound part of the pacific ocean,other
404,has california ever been hit by a hurricane,other
405,can you crossbreed a wolf with a dog,other
406,will there be a fourth series of the tunnel,other
407,is mexico a part of the united states,other
408,did han solo and princess leia get married,other
409,is my brothers wife my husbands sister in law,ind
410,is super smash brothers ultimate a new game,sport
411,is 44 special the same as 44 mag,other
412,will there be a series 4 of the leftovers,other
413,can we sit in train with rac ticket,other
414,are nautical miles the same as air miles,other
415,is there extra time in scottish cup semi final,other
416,can pie charts be used for numerical data,other
417,are the twin towers taller than empire state building,other
418,are chipmunks and squirrels in the same family,animal
419,did american pharoah race after he won the triple crown,sport
420,does the british royal family have a yacht,other
421,can anything move faster than speed of light,other
422,can i travel to samoa with a criminal record,other
423,can they close the roof at wembley stadium,other
424,did robin marry matthew at the end of career of evil,ind
425,is non current assets the same as fixed assets,other
426,does peyton have a miscarriage on one tree hill,other
427,is wythenshawe the biggest council estate in europe,other
428,have the yankees and mets played in the world series,other
429,is state center iowa the center of the state,other
430,is voltage the same in a series circuit,other
431,is the movie the way back a true story,cremat
432,is sea water and salt water the same thing,other
433,is the us treasury part of the federal reserve,other
434,is there a leader in a school of fish,ind
435,did jack die in now you see me,other
436,was brown eyed girl originally brown skinned girl,ind
437,is the caribbean part of the atlantic ocean,other
438,is a field in one table whose values are required to match a primary key in another table,other
439,is the movie yellow brick road based on a true story,cremat
440,is todd bethany's dad in coronation street,ind
441,are bb guns required to have an orange tip,other
442,do i have to put my name on the return address,other
443,is gram flour and chickpea flour the same,food
444,can you drink in a car in germany,food
445,can you get a disease from eating human flesh,dismed
446,planetary orbits around stars in binary systems are always unstable,other
447,according to zoroastrianism one of the gods who presides over your judgement is sroasha,ind
448,is fantastic four part of marvel cinematic universe,other
449,is there a volcano in the mojave desert,other
450,can the order of a reaction be negative,other
451,did trinidad and tobago qualify for the world cup 2018,other
452,is st croix in the us virgin islands,other
453,does ross and demelza stay together in the books,other
454,is see by chloe the same as chloe,other
455,did dorothy from wizard of oz have a last name,ind
456,is the boy scouts a non profit organization,gr
457,is percy jackson the only son of poseidon,ind
458,can a visitor have a baby in the us,other
459,is world cup extra time a golden goal,other
460,is the avengers the same as avengers assemble,other
461,is giant man and ant man the same person,ind
462,are michael and lincoln brothers in real life,ind
463,the bill of sale is absolute proof of ownership,other
464,behind enemy lines was it based on a true story,other
465,do you have to touch the bases on a home run,other
466,is the book i am pilgrim a true story,cremat
467,was the song stand by me written for the movie,cremat
468,does every state in india have a separate state emblem justify,state
469,does bobby get out of jail in soa,other
470,can you steal a base on a strikeout,other
471,does the family die in a quiet place,other
472,is there a train station in newark airport,other
473,is there a tube station at wembley stadium,other
474,has anything been to the bottom of the ocean,other
475,is there a tunnel between denmark and sweden,other
476,are bank transit number and routing number the same,other
477,can you eat the stick in fun dip,food
478,is howard stark the father of tony stark,other
479,does lake tahoe freeze over in the winter,other
480,do pigeons have the same mate for life,animal
481,is xbox one s backwards compatible with 360 games,other
482,has there ever been a tornado in connecticut,other
483,can you play phase 10 with 8 players,other
484,was the king james bible the first english translation,cremat
485,does the mississippi river flow north to south,other
486,is the song in the jungle in the lion king,cremat
487,can you be sentenced to death in the uk,other
488,are mont st michel and st michael's mount related,other
489,is the cavern club in liverpool the original,other
490,is there any difference between sister chromatids and homologous pairs of chromosomes,desc
491,is there a new champions league trophy every year,other
492,does lexi die in the plane crash on grey's anatomy,other
493,can a person have their heart on the right side,other
494,is xbox 360 and xbox one cross platform,other
495,does the 4 train stop at bowling green,other
496,is jurassic world set on the same island,other
497,is soccer overtime sudden death in world cup,sport
498,is the pelvic bone the same as the hip bone,body
499,is the orange part of a scallop edible,body
500,is point symmetry a special type of rotational symmetry,def
501,does xbox one game work on xbox 360,sport
502,has a tornado ever hit new york city,other
503,have the vancouver canucks ever won the stanley cup,other
504,is equilibrium potential the same as resting potential,other
505,can i own a handgun at 20 in texas,other
506,has a female horse ever won the triple crown,animal
507,are gopher snakes and bull snakes the same,animal
508,can you grow tea leaves in the us,other
509,are they still making jane the virgin episodes,other
510,do luke and leia find out they are twins,other
511,is there an end scene in advengers infinity war,other
512,do they still put the worm in tequila,other
513,is into the woods a musical all the way through,other
514,was the real jim lovell in the movie apollo 13,ind
515,will there be a 3rd series of 800 words,other
516,can you buy a gun with dishonorable discharge,other
517,is washington dc a part of a state,other
518,can the product of two prime numbers be a prime number,other
519,is petra jordan a wonder of the world,other
520,is the movie remember me a true story,cremat
521,is there going to be a star trek 3,other
522,is the major in ghost in the shell 2,other
523,is there a jet stream in the southern hemisphere,other
524,is i 78 a toll road in pa,other
525,are all the states made up of two houses,state
526,is puerto rico part of the united states territory,other
527,is there a nuclear power plant in arizona,other
528,can you go back to college after declaring for the nba draft,other
529,will wii motion plus controller work regular wii,other
530,has any baseball team had a perfect season,gr
531,is jersey money legal tender in the uk,other
532,can a dna polymerase initiate new strand of nucleic acid independently,other
533,is air force one any plane the president is on,other
534,is there a such thing as a fast lane,other
535,does the south shore train stop at mccormick place,other
536,do you need a pistol permit to shoot at a range in ny,other
537,can you legally own a crossbow in the uk,other
538,can there be rain and fog at the same time,other
539,do i need a visa to go to iraq,other
540,did they ever find the crew of the andrea gail,other
541,is scientific notation and standard form the same,other
542,does the state of kentucky have the death penalty,state
543,is alaska almost as big as the united states,other
544,can you eat the middle of a blackberry,food
545,was wizard of oz in color in 1939,other
546,is there a movie based on the book uglies,cremat
547,is cracker barrel cheese affiliated with the restaurant,food
548,can you drink in texas if you are with your parents,food
549,is safe haven based on a true story,other
550,do pam and jim break up in the office,other
551,can i refuse to give id to police,other
552,is the movie tombstone based on a real story,other
553,can a registered libertarian vote in the primary,other
554,did germany qualify for the 2018 world cup,other
555,will the rams and chargers share a stadium,other
556,does a parallelogram have 2 pairs of parallel sides,other
557,is topanga in the city of los angeles,other
558,are the adjacent sides of a parallelogram equal,other
559,does derek shepherd get fired in season 6,ind
560,is there a cable between america and europe,other
561,is a m80 a quarter stick of dynamite,other
562,did south africa ever win the soccer world cup,other
563,is the house of representatives in the legislative branch,other
564,is there stump out in free hit ball,other
565,do christian and ana stay together in fifty shades freed,other
566,is marvel ultimate alliance playable on xbox one,other
567,is nuclear waste and radioactive waste the same,other
568,do lungfish have bones in fins or feet,animal
569,is the president of the senate the vice president,ind
570,can i go to canada with enhanced license,other
571,do peter parker and mary jane get married,other
572,is hong kong a part of the commonwealth,other
573,has anyone broken the sound barrier on land,other
574,do i need the chromecast app to cast,other
575,are banks in scotland open on easter monday,other
576,is mississippi the longest river in the world,other
577,has belgium ever won a world cup final,other
578,is the electoral college written in the constitution,other
579,is there an in n out in canada,other
580,is high blood pressure considered a chronic illness,dismed
581,are the rams and chargers going to share a stadium,other
582,is san marcos part of san diego county,other
583,does the bat boy travel with the team,ind
584,is crater lake the deepest lake in the world,other
585,the kingdom of vijayanagar was found by two brothers,other
586,is the base of an isosceles triangle always the longest side,other
587,can a foreigners have a baby in usa,other
588,is square d and schneider electric the same company,gr
589,are spark plugs and ignition coils the same,other
590,can you tag up on an infield fly,other
591,is burj al arab the tallest hotel in the world,other
592,is the hippocampus part of the brain stem,body
593,is the blues brothers movie a true story,cremat
594,is truth or dare movie based on a true story,cremat
595,is barcelona on the south coast of spain,other
596,is cedar cove coming back for season 4,other
597,do you get to keep the french open trophy,other
598,is fifa world cup 2014 on xbox one,other
599,does the expo line go to santa monica,other
600,is there a disorder for talking too much,dismed
601,did danny johnson from southern university get drafted,ind
602,do all neurons have the same action potential,other
603,do oxymorons have to be next to each other,other
604,is percy in the ship of the dead,other
605,are all the songs in the greatest showman original,cremat
606,is there a train station in chipping norton,other
607,can a knight jump over an opponent's piece,other
608,were the abba songs written for mamma mia,cremat
609,will there be a 5th series of rake,other
610,is st maarten and st martin the same place,other
611,is there a train station at southend airport,other
612,is the back to the future set still at universal studios,other
613,is zakynthos (zante) a greek island,other
614,is army corps of engineers part of army,gr
615,does robin hood die in once upon a time,other
616,can you take a boat from chicago to the ocean,other
617,was the battle of fort sumter the first battle,event
618,is lake isle of innisfree a real place,other
619,is there a train station in tallahassee fl,other
620,do all french bulldogs need a c section,other
621,is all of australia on the same time zone,other
622,will there be a seaon 8 of suits,other
623,can i buy a barrett 50 cal in california,other
624,did the milwaukee brewers ever won a world series,other
625,can a us citizen become a citizen of denmark,other
626,do you get to keep the triple crown trophy,other
627,are g major and e minor the same,other
628,is there a end credit scene in avengers infity war,other
629,are the oscars the same as the academy awards,other
630,are lloyds bank and lloyds tsb the same,other
631,is lesotho the only country within a country,country
632,is there a difference between xmas and christmas,desc
633,the area under the entire probability density function equals 1,other
634,is the palace of auburn hills still standing,other
635,do you need a permit to buy a crossbow,other
636,is one world trade center built on ground zero,other
637,can you throw the ball forward in rugby,other
638,did jamie live in a walk to remember,other
639,is the anglican church the same as the church of england,other
640,is an ip address unique to a device,other
641,do you need a bridge in a song,other
642,has the us post office ever been in debt,other
643,are the songs in mamma mia 2 from abba,cremat
644,are there victoria's secret stores in europe,other
645,do you have to kick the ball forward at kick off,other
646,can floor area be bigger than lot area,other
647,is washington dc considered part of the united states,other
648,most television shows that reach 50 episodes minimum go into syndication and go into re-runs,cremat
649,can you use gamecube controller for wii games,other
650,do you get conjugal visits in prison uk,other
651,is a walk in closet considered a room,other
652,are isle of man pounds legal tender in england,other
653,is the fox part of the dog family,animal
654,does all canon lenses fit all canon cameras,other
655,is the bates motel filmed at universal studios,other
656,is a credit hour the same as a semester hour,other
657,are there any public hospitals in the us,other
658,is the actor that plays kevin on young and restless leaving the show,ind
659,did india ever qualified for fifa world cup,other
660,are white tigers and bengal tigers the same,animal
661,did england qualify for the world cup 2010,other
662,is the lead singer of blur in the gorillaz,ind
663,can the president of the united states declare war on his own,other
664,is bourbon street in the french quarter in new orleans,other
665,did dr stevens die on grey's anatomy,other
666,is there a new series of lethal weapon,other
667,are scottish hydro and sse the same company,gr
668,is a certified abstract of birth a birth certificate,other
669,is leeds the 3rd largest city in england,city
670,is iso and film speed the same thing,other
671,does the colorado river make it to the ocean,other
672,is garden of the gods a state park,other
673,does it snow in north carolina in december,other
674,has wayne rooney ever won the champions league,other
675,is the pentagon the largest office building in the world,other
676,is there going to be a season 3 of free iwatobi swim club,other
677,did the person who played mark sloan die in real life,ind
678,did sam make it home on quantum leap,other
679,are there any states that allow smoking in restaurants,state
680,is a panda a member of the bear family,animal
681,does a bee always die after it stings,other
682,is the colorado river in texas the same as in colorado,other
683,does google duo have end to end encryption,other
684,is there going to be a carrie 2,other
685,do they still hold the world's fair,other
686,does the samsung galaxy note 5 have a fingerprint scanner,other
687,can you move a pawn backwards in chess,other
688,is 9 a lucky number in chinese culture,other
689,is there a bridge between ireland and scotland,other
690,is what does the fox say about furries,desc
691,do you need to pull over for emergency vehicles,other
