,texts,labels
0,When did Beyonce start becoming popular?,date
1,Which film featured Destiny's Child's first major single?,cremat
2,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",ind
3,How many albums did Beyonce sell in the first week when she released her second album?,count
4,What movie did Beyonce act in 2006?,cremat
5,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,count
6,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,date
7,When did Beyonce have her first child?,date
8,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",count
9,Where did Beyonce release her 5th album to a huge surprise?,other
10,How many awards did Beyonce take home with her at the 57th Grammy Awards?,count
11,"As of April 2014, how many albums have Jay Z and Beyonce sold together?",count
12,How many copies of her albums as Beyonce sold in the US?,count
13,How many Grammys has Beyonce won total with and without Destiny's Child?,count
14,What type of accessory company did Beyonce partner with in 2005?,gr
15,What areas did Beyonce compete in when she was growing up?,other
16,Who was the first person to notice Beyonce's singing ability?,ind
17,"How many weeks did their single ""Independent Women Part I"" stay on top?",count
18,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,date
19,Her second movie Beyonce did was what film?,cremat
20,Which year did Beyonce and her father part business ways?,date
21,Where did Beyonce give birth to her first child?,other
22,When did Beyonce get her fifth consecutive number one hit album?,date
23,Where did Beyonce become pregnant?,other
24,Which song by Jay Z talked about the pregnancy struggles?,cremat
25,How old was Beyonce when she went to her first Michael Jackson concert as a kid?,period
26,"Which singer did Beyonce honor by entertaining with her song ""Deja Vu""?",ind
27,Which former president of Def Jam called Beyonce the greatest entertainer alive?,ind
28,"How many Grammy awards did ""Crazy in Love"" win?",count
29,"Totaling worldwide, how many records as Beyonce sold?",count
30,Who is the only other woman with more Grammy awards than Beyonce?,ind
31,Beyonce opened a cosmetology center in what location?,other
32,What song did Beyonce contribute to the campaign?,cremat
33,When did Beyonce leave Destiny's Child and become a solo singer?,date
34,"Who did Beyonce record with for the movie ""The Best Man?""",ind
35,Who supported Beyonce through her depression?,ind
36,Beyonce starred with Cuba Gooding Jr. in which film?,cremat
37,"How many has ""Dangerously in Love"" sould worldwide since its debut?",count
38,In what year did Beyonce embark on her Dangerously in Love tour of Europe?,date
39,"How many countries did her song ""Irreplaceable"" get number one status in?",count
40,"The single, ""Listen"" was featured in which movie?",cremat
41,Where was the album released? ,other
42,How many people watched the 2011 MTV Music Awards?,count
43,Where was Beyonce quoted as saying that she is a modern-day feminist?,other
44,What year did Beyonce do away with Sasha Fierce?,date
45,What was the title of Beyonce's mother's book?,cremat
46,Which social media company proclaimed Beyonce fans are know as the Bey Hive?,gr
47,Which company was accused of coloring Beyonce's hair?,gr
48,How many did Crazy in Love sell to become one of the greatest selling singles in history?,count
49,How many certifications was Beyonce awarded by the RIAA?,count
50,Beyonce has been awarded how many Grammy nominations?,count
51,Which organization wrote a letter to Beyonce after her Pepsi endorsement deal?,gr
52,When did Beyonce begin her deals with name brands?,date
53,For what movie did Beyonce receive  her first Golden Globe nomination?,cremat
54,Who brought Beyonce to California and enter her group in Star Search?,ind
55,Beyonce's group changed their name to Destiny's Child in what year?,date
56,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?",ind
57,How many singles did her second album produce?,count
58,Which singer beat out Beyonce for best video performance?,ind
59,"How many number one singles did Beyonce now have after the song ""Telephone""?",count
60,Which organization did Beyonce's spokespeople confirm her donations to?,gr
61,"When did Destiny's Child release its album ""Love Songs""?",date
62,Who joined Beyonce on her On The Run Tour?,ind
63,Where did she announce her pregnancy?,other
64,What movie influenced Beyonce towards empowerment themes? ,cremat
65,Who personally influences Beyonce?,ind
66,Who chose her as number one on his list of Best singers/ Dancers?,ind
67,When was she on the Sports Illustrated cover?,date
68,What percentage of people were positive about Beyonce's endorsement of Pepsi?,perc
69,The Mrs. Carter Show Limited Edition was released in what year?,date
70,How many people lost jobs when Beyonce left the video game deal?,count
71,What is Beyonce's percentage of ownership in the new venture?,perc
72,What did Beyonce and Rowland found in 2005?,other
73,When did Beyonce take a hiatus in her career and take control of her management?,date
74,How long was Beyonce depressed?,period
75,What French composer wrote the original opera ''Carmen'' in the 19th century?,ind
76,How many top five singles came from her first album?,count
77,How much money did Beyonce's tour make in 2007?,money
78,When was Beyonce's forth album released?,date
79,When did Beyonce have her first child?,date
80,When did the tour begin?,date
81,Who reported Beyonce to e the top earning woman in music?,ind
82,Beyonce took home how many awards at the 57th Grammy Awards?,count
83,When were Beyonce and Jay Z married?,date
84,Why was the broadcast the most-watched in history?,reason
85,What was the named of the song  dedicated to the child?,cremat
86,When did Beyonce sign a letter for ONE Campaign?,date
87,How many octaves does Beyonce have?,count
88,When did Beyonce become the first African American woman to win Pop songwriter of the year?,date
89,How did Etta James influence her?,manner
90,How has L.A. Reid described her?,manner
91,How did L'Oreal respond to accusations of changing pictures?,manner
92,When did Beyonce first make the Time 100 List?,date
93,Who was the first female to achieve the International Artist Award at the American Music Awards?,ind
94,How many awards at the Broadcast Film Critics Association Awards in 2006 did Beyonce bring home?,count
95,When did Beyonce begin doing Pepsi advetisments?,date
96,How much money did The Mrs. Carter Show Limited Edition fragrance make?,money
