,texts,labels
0,What do pointed letters mean to a handwriting analyst ?,DESC
1,What are Fortune 500 companies ?,DESC
2,What does the term `` spaghetti western '' mean ?,DESC
3,What is federal income tax ?,DESC
4,How do I find a snowboarding website ?,DESC
5,What is Zionism ?,DESC
6,What is the definition of the term `` weapons system '' ?,DESC
7,What is Plc ?,DESC
8,Why does a candle go out when we blow on it ?,DESC
9,What are liver enzymes ?,DESC
10,What is a wart ?,DESC
11,What is the meaning of the name Kathryn ?,DESC
12,What are tannins ?,DESC
13,What is the root of all evil ?,DESC
14,What 's the origin of the word ` news ' ?,DESC
15,"What is the claim to fame of Agra , India ?",DESC
16,Where do rocks come from ?,DESC
17,How does a hurricane form ?,DESC
18,What happened to Moon Maiden ?,DESC
19,What is the `` Global Economy '' ?,DESC
20,How does the Nintendo `` Zapper '' work ?,DESC
21,What do you need to do to marry someone in jail ?,DESC
22,What is a disaccharide ?,DESC
23,What causes rust ?,DESC
24,Define Spumante .,DESC
25,What do insects do through their spiracles ?,DESC
26,Why do magnets attract ?,DESC
27,What did John F. Kennedy consider his greatest blunder in office ?,DESC
28,What is tumbled marble ?,DESC
29,Give a reason for American Indians oftentimes dropping out of school .,DESC
30,How do telephones work ?,DESC
31,How do clouds form ?,DESC
32,What is `` cat scratch fever '' ?,DESC
33,What is idealab ! ?,DESC
34,What does the dot on the letter i mean ?,DESC
35,What is the highest Roman numeral ?,DESC
36,What is the origin of infinity ?,DESC
37,How was Teddy Roosevelt related to FDR ?,DESC
38,What was the claim to fame of King Camp Gillette ?,DESC
39,What is a Mexican hairless ?,DESC
40,What is different about the red and black fox ?,DESC
41,What is a `` node '' in computer terms ?,DESC
42,What is the difference between a board of directors and an advisory board ?,DESC
43,What is the meaning of thalassemia ?,DESC
44,Why are there 12 people on a jury in criminal cases ?,DESC
45,What is the use of a 24-hour clock instead of a 12-hour clock ?,DESC
46,How do you write a correct critical analysis of a poem ?,DESC
47,What is an annotated bibliography ?,DESC
48,What is the history of yo-yos ?,DESC
49,How come light bulbs go out ?,DESC
50,How can I register my website in Yahoo for free ?,DESC
51,How do you find the area of a circle ?,DESC
52,How do you make the color purple ?,DESC
53,Where does `` bovine '' come from ?,DESC
54,How do birds have sex ?,DESC
55,What was the V-8 Juice slogan : `` the tastebud '' ?,DESC
56,How can I get someone 's phone number if I only have their screen name ?,DESC
57,What is the difference between classical conditioning and operant conditioning ?,DESC
58,How you can raise your IQ ?,DESC
59,What is the Amish religion ?,DESC
60,What is humidity ?,DESC
61,What is the Golden Rule ?,DESC
62,What is a courier ?,DESC
63,What causes a person to have constantly sweaty hands and feet ?,DESC
64,What makes a tornado turn ?,DESC
65,What are the words to the song sung by `` Banana in Pajamas '' ?,DESC
66,What caused the death of Bob Marley ?,DESC
67,How do you pronounce `` Tzimisce '' ?,DESC
68,What does Aaron mean ?,DESC
